-03- -2SS
-0Mj --Fp
-1W8 --LO
-2aE -3OQ
-4r1 --wq
-6Wl --MT
-8Cb -1WI
-8Qv --ZC
-9D_ -2f-
-9Vj --_I
-Aa- --Jj
-Ayv -1T4
-C5f -0rP
-Cgn -07Z
-Dvt --2c
-ElR --R-
-FxV -0Ik
-Hii -1-i
-Hpy --FV
-I-B --RC
-J4f --dE
-KWK -3fy
-KxH -1dF
-LUb -1CD
-M5n -0yr
-M5v -3-g
-NV7 --vY
-NZD -3c4
-Ndc -0dk
-NsC --YP
-O19 -12m
-P4R -3CR
-P9p --0j
-PCC --po
-R3U --Fw
-UWT --Md
-VOt -0CL
-XTE -0Yy
-YYi -08N
-ZD_ -1eT
-ZW_ -0si
-_I9 -12o
-aDU -0x5
-b1Y -0MK
-bY- -1Dm
-byZ --WC
-c59 -21U
-cTo --1Q
-dUS -12j
-ddO -1gQ
-e6h -2O_
-gAk -0yV
-gYr -2jf
-h0F --R7
-hDf -3D-
-jIV --6r
-le2 -0Of
-mBy -05T
-n3y -1NC
-ngG ---F
-oM4 --pn
-onk -0aN
-p7L -1oS
-qlz -06r
-rwC --02
-s9N --s-
-sAg -0aO
-s_q --aG
-t01 -3Gh
-uiC -0QO
-v0r --it
-v3_ -1gd
-zaQ --ED
-zyU --W1
01pN --Yp
02Do --Tw
02Y9 --5c
033N --E8
06fA -1TB
08l5 --4x
0A0F --ye
0AJn --H4
0AQN --JH
0BlR -1rQ
0E8h --hU
0EDp -0GW
0ExO -0fl
0Fo6 --KC
0G-j -0fk
0G6Q --eN
0GPL -0QG
0Icm --3S
0LO7 --yn
0MFk -0_q
0MgR --Xz
0NhT -1Yl
0Ppl -0DW
0QBC --83
0QM6 --vU
0Qwl --IC
0RI8 -3rG
0RW3 -0Fq
0SGE --sQ
0ThT -0dl
0U4g -2ov
0Uy3 -0k2
0VYe ---Z
0Wwr -0ae
0Wyj --X1
0X9N --IU
0YKq -1df
0Z2A --hw
0_34 --3T
0_q1 -0Vm
0aRH -2ok
0akn --Wj
0as8 --F4
0c-5 --7v
0c11 -2fi
0c1U --Dp
0ckU --JM
0dNQ --GP
0dTe --Zz
0dV7 -1E6
0eK3 -1WV
0fhj --X3
0gmX --pJ
0h0W -1T8
0ir2 -1uC
0j6A -2Uq
0jZb --3G
0k2I --En
0lLa --6H
0mWz -0oc
0pWj --sz
0qgD ---r
0rTn -2Bz
0sPi ---8
0spW -08I
0tWe --No
0ted ---Y
0uHs --N-
0ui2 -0KC
0vP_ --0E
0vb0 --G_
0vrC --aK
0wZ4 --5X
0yLk -1CF
0zof -3Kg
1-Kz --C4
1-wy -1T-
10ua --6v
11ps --UD
11rx -0aw
12aG -16w
12eN -2Vc
